Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
how do i get in one of these videos???,0.0,Neutral,0.0,Netural,-0.4353480339050293,Negative
nice vid mate,0.4215,Positive,0.6,Positive,0.4435596466064453,Positive
That puppy video had me in tears I could even eat my burrito I was laughing so hard,0.1113,Positive,-0.2916666666666667,Negative,-0.6168192028999329,Negative
most of the time I just laugh cause he laughs. I don't know why but seeing other people laugh just makes me laugh. Its weird.,0.9209,Positive,0.12916666666666668,Netural,-0.40053993463516235,Negative
1:02 i'm painfully feel relatable to that too.,-0.5267,Negative,-0.7,Negative,-0.3603816032409668,Negative
Are u buleauty,0.0,Neutral,0.0,Netural,-0.3190716803073883,Negative
6:46 ur mum,0.0,Neutral,0.0,Netural,0.2642482817173004,Netural
11.34 how can ı reach to this vid ;D,0.3885,Positive,0.25,Netural,0.3580171763896942,Positive
I bothered to click and this was the shittest thumbnail I’ve ever seen 🥺,-0.3182,Negative,0.0,Netural,0.5665506720542908,Positive
Where do you send your submissions?,0.0,Neutral,0.0,Netural,-0.44600722193717957,Negative
Holy shit 111M subscribers damn son,-0.743,Negative,-0.2,Negative,-0.4301949441432953,Negative
"If ksi does this,he'd go bankrupt in a few weeks.",-0.5574,Negative,-0.2,Negative,-0.4963473081588745,Negative
Tja Pewds jag har covid-19 men dina videor får mig att må bra :),0.8555,Positive,0.6,Positive,0.2879372835159302,Netural
Ñ,0.0,Neutral,0.0,Netural,-0.21789678931236267,Negative
Pewdiepie i have a question? why is your name Pew Die Pie.I'm so sorry that pew has died because of a pie,-0.8439,Negative,-0.5,Negative,-0.6500951647758484,Negative
Me gusta 👍🏼,0.3612,Positive,0.0,Netural,0.46056148409843445,Positive
"Okay guys, I'm about to need the name, and streaming service of the anime at 10:45. By the way, I'm asking for a friend! ;)",0.7424,Positive,0.4375,Positive,0.6524289846420288,Positive
10:25 anybody got a link?,0.0,Neutral,0.0,Netural,-0.4239572584629059,Negative
How does one participate?,0.0,Neutral,0.0,Netural,0.32357847690582275,Netural
I forgot PewDiePie can play the guitar.,0.34,Positive,0.0,Netural,0.3178556561470032,Netural
I distance myself from this advertisement for handy shields. I don't celebrate Christmas,-0.4585,Negative,0.6,Positive,-0.5119975805282593,Negative
12:08 dafuq just happened? 🤣,0.4939,Positive,0.0,Netural,-0.5264418721199036,Negative
Seeing children crying and being upset especially when I cause it makes me so goddamn happy,-0.692,Negative,0.20000000000000004,Netural,0.81041020154953,Positive
"I thought it was some kind of joke,  Donkeys actually do make those noises",0.228,Positive,0.3,Netural,-0.3585401177406311,Negative
Loved it,0.5994,Positive,0.7,Positive,0.6379150748252869,Positive
11:45 Byeah 😂💀,0.4404,Positive,0.0,Netural,-0.286382794380188,Negative
10:56 not fair pay up,-0.1695,Negative,-0.35,Negative,-0.5165718197822571,Negative
Why is he sitting like a hunchback in Notre...,0.3612,Positive,0.0,Netural,-0.46558159589767456,Negative
I love how Pewdiepie doesn’t even try to hold back his laughter,0.8126,Positive,0.25,Netural,0.6656646728515625,Positive
"Can anyone please tell me the song name used at 12:29
thanks :)",0.802,Positive,0.35,Positive,0.31045109033584595,Netural
12:33 Nearly lost a fucking lung 😂😂😂😂😂😂😂😂😂😂😂😂,0.9842,Positive,-0.25,Negative,-0.630427360534668,Negative
Wtf did the SpongeBob one get me,-0.5859,Negative,-0.5,Negative,0.38560163974761963,Positive
"Stop spamming rickrolled shet, don't make demonetize",-0.6486,Negative,0.0,Netural,-0.707301139831543,Negative
This made me look up Stupid Children compilation RIP,-0.5267,Negative,-0.7999999999999999,Negative,-0.6866701245307922,Negative
How do you send him videos,0.0,Neutral,0.0,Netural,0.3325304090976715,Positive
3:33 what phone is that?,0.0,Neutral,0.0,Netural,0.27187615633010864,Netural
6:47 So sweet!,0.5551,Positive,0.4375,Positive,0.7145591378211975,Positive
Where can i submit the videos tho can someone answer thanks,0.4404,Positive,0.2,Netural,-0.3959011137485504,Negative
How much they get?,0.0,Neutral,0.2,Netural,-0.285910964012146,Negative
"Sick intro, what song, do u make hardcore pewdi?😂😂",0.3612,Positive,-0.7142857142857143,Negative,-0.5285451412200928,Negative
Jai carryminati,0.0,Neutral,0.0,Netural,0.2382180094718933,Netural
I literally had to go and find the video of that child crying in chess competition to make sure the little boy was okay🥲,-0.2023,Negative,0.0375,Netural,-0.4986661672592163,Negative
6:42 - This is the first time I donkey which appears to be singing,0.0,Neutral,0.25,Netural,-0.22665567696094513,Negative
"this is not the redistribution of wealth we deserve, but the redistribution of wealth we need right now.",0.7506,Positive,0.2857142857142857,Netural,0.38944247364997864,Positive
fucking dogs💀💀 12:34,0.0,Neutral,-0.6,Negative,-0.6848483681678772,Negative
"I'm back again to try to find the background music at 13:05, still couldn't find it",0.0,Neutral,0.0,Netural,0.3623528778553009,Positive
Norm is the greatest comedian of all time.,0.7783,Positive,1.0,Positive,0.9517523050308228,Positive
"Pewds silently looking for vids with ""I don't have paypal"" so that he can laugh freely at their videos.",0.7579,Positive,0.2333333333333333,Netural,0.2548677623271942,Netural
Just subscribed,0.0,Neutral,0.0,Netural,-0.3821869194507599,Negative
Byeah,0.0,Neutral,0.0,Netural,0.26008719205856323,Netural
Again HOW DO YOU SUBMIT THESE,0.0,Neutral,0.0,Netural,0.5796031355857849,Positive
Damn I love when you collab with rhino shield it always ends up with such great masterpieces,0.8779,Positive,0.43333333333333335,Positive,0.902190625667572,Positive
"The danish video, was written and preformed by two norwegian actors.
Pewdiepie did a haha to norway.
Nrk for the win, that you atle antonsen and harald eia",0.7783,Positive,0.3333333333333333,Positive,-0.42560186982154846,Negative
