Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
This masterpiece scared the shit out of me when I first saw it,-0.34,Negative,0.024999999999999994,Netural,0.8678256869316101,Positive
Who said that Horrors can’t be musical,-0.5719,Negative,0.0,Netural,-0.43295589089393616,Negative
This song is my favorite all in mj songs,0.4588,Positive,0.5,Positive,0.8535651564598083,Positive
Michael Joseph Jackson 💋💋💋💋,0.8807,Positive,0.0,Netural,0.4053418040275574,Positive
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
So far,0.0,Neutral,0.1,Netural,0.4500625431537628,Positive
OMG DIDDY DID IT DARFAR HAHA,0.4588,Positive,0.2,Netural,0.2615880072116852,Netural
Let's get it to 1 billion views,0.0,Neutral,0.0,Netural,0.3470195233821869,Positive
"When I lived in the Bronx, I waited until midnight to watch the premiere of this video on New York Hot Tracks back in '83.",0.0,Neutral,0.12878787878787878,Netural,0.33544257283210754,Positive
"1980s 
I'll never forget that decade",0.1695,Positive,0.0,Netural,0.30792245268821716,Netural
I was so scared of this video as a little kid 😭,-0.7634,Negative,-0.1875,Negative,0.4905478060245514,Positive
الله اكبر,0.6369,Positive,1.0,Positive,0.6326079368591309,Positive
great songs,0.6249,Positive,0.8,Positive,0.7391586303710938,Positive
Ewrt,0.0,Neutral,0.0,Netural,0.2473440170288086,Netural
Str,0.0,Neutral,0.0,Netural,0.345176100730896,Positive
What!?,0.0,Neutral,0.0,Netural,-0.481158584356308,Negative
Umm,0.0,Neutral,0.0,Netural,0.24214375019073486,Netural
"The best
Michael the best.of all times",0.6369,Positive,1.0,Positive,0.9403122067451477,Positive
"Mr. Jackson, Awesome Vato. I got the Album when it came out, Thriller video is Amazing!!! RIP.",0.88,Positive,1.0,Positive,0.7553660273551941,Positive
Ah that was the audio transformation from American Werewolf in London,0.0,Neutral,0.0,Netural,0.23299099504947662,Netural
Mild Cholester.,0.0,Neutral,0.3333333333333333,Positive,-0.34163519740104675,Negative
El mejor video musical de la historia,0.6369,Positive,1.0,Positive,0.9329831004142761,Positive
I didnt know michael jackson was in the cult of Jehovahs Witnesses until i saw this,0.0,Neutral,0.0,Netural,0.226892352104187,Netural
Misto,0.0,Neutral,0.0,Netural,0.27493301033973694,Netural
just came back to this today 29/04/2022. what an absolute legend! love from the UK ❤️❤️,0.6696,Positive,0.25,Netural,0.9126653075218201,Positive
Hreasdretzü,0.0,Neutral,0.0,Netural,-0.24177959561347961,Negative
se murio por hacer pacto con el diablo y por cambiarse de piel tanto,-0.8402,Negative,0.2,Netural,-0.4690873920917511,Negative
HAHAHAHAHAH I WAS SO SCARED I CUMMING,-0.5777,Negative,0.0,Netural,0.43367984890937805,Positive
this describes the new world order how everyone is zombie and or possessed. especially after vaccine.,0.0,Neutral,0.06818181818181818,Netural,0.4670291244983673,Positive
No malayaalees,-0.296,Negative,0.0,Netural,-0.29480916261672974,Negative
I love Michael,0.6369,Positive,0.5,Positive,0.7789791822433472,Positive
"Imagine how ridiculous this idea sounds in the 80s

""yeah I want a hoarde of zombies for my 14 minutes long music video. also, make sure they dance.""",0.3182,Positive,0.038888888888888896,Netural,-0.623708963394165,Negative
8:25,0.0,Neutral,0.0,Netural,-0.23845447599887848,Negative
"""This song never gets old. No matter how much I listen, I never get bored""",0.1877,Positive,-0.06666666666666665,Negative,0.5399413704872131,Positive
A message to the future generations: 'DON'T LET THIS SONG DIE',-0.6841,Negative,0.0,Netural,-0.4070218503475189,Negative
"""It's crazy how many people come back to this everyday. This song is legendary ♡""",-0.34,Negative,0.13999999999999999,Netural,0.8331597447395325,Positive
"4:43～
9:40～",0.0,Neutral,0.0,Netural,0.2311755269765854,Netural
ETERNO,0.0,Neutral,0.0,Netural,0.42783984541893005,Positive
I am like watching movie.,0.3612,Positive,0.0,Netural,0.4210554361343384,Positive
-日本人-,0.0,Neutral,0.0,Netural,0.28099122643470764,Netural
"something needs to be released for the 40th anniversary
4K remastered maybe ?",0.0,Neutral,0.0,Netural,-0.2854917347431183,Negative
"https://youtu.be/lKSF_VpEE0E
Как менялася Майкл Джексон",0.0,Neutral,0.0,Netural,0.2758697271347046,Netural
"Y pensar q ese video desplazo a flash dance y the police q venian estando varias semanas en el puesto n°1 ,para asi consagrase definitivamente en el rey del pop",0.0772,Positive,0.0,Netural,0.6063116788864136,Positive
My dad was a fan of mj and i really loved his music❤️❤️❤️,0.7574,Positive,0.7,Positive,0.6337823867797852,Positive
joder todas esas reproducciones son mías  😎,0.0772,Positive,0.0,Netural,0.5414401888847351,Positive
"Who else was freaked out by this video as a child, but still loved the entire dance scene and tried the dance along with Michael? 🤚",0.8765,Positive,0.35,Positive,0.40421977639198303,Positive
3:50,0.0,Neutral,0.0,Netural,0.31124475598335266,Netural
"Майкл, память о тебе вечная! Я буду тебя любить всегда!!!",0.7482,Positive,0.9765625,Positive,0.8468812704086304,Positive
It’s really been almost 40 years to this day since this priceless gem got released and I stay with one question only…..how in the FRICK does Despacito have more views??,0.0,Neutral,0.5666666666666667,Positive,-0.30759695172309875,Negative
3:49 need I say more,0.0,Neutral,0.5,Positive,0.307043194770813,Netural
My Nigga,0.0,Neutral,0.0,Netural,0.3253989815711975,Netural
Eu tinha medo desse clipe KAKKSKAKAKAKAK,0.0,Neutral,-0.6,Negative,-0.3669537901878357,Negative
Indisputably the greatest music video and dance sequence of all time. Hands down. ‘nuff said.,0.6369,Positive,0.4222222222222222,Positive,0.9202122688293457,Positive
My infancia,0.0,Neutral,0.0,Netural,0.46964535117149353,Positive
That look at the end 😱,-0.7003,Negative,0.0,Netural,0.27353936433792114,Netural
Getting Vincent Price in was an amazing touch.,0.5859,Positive,0.6000000000000001,Positive,0.7056152820587158,Positive
2022 and MJ stiil remain the best of the world,0.6369,Positive,1.0,Positive,0.8539000153541565,Positive
Pasan los años y sigue siendo el mejor video clip de la historia. Michael hacia música para la posteridad,0.6369,Positive,1.0,Positive,0.7753387093544006,Positive
I wonder if the transformation scene inspired the movie Teen Wolf???,0.5775,Positive,0.0,Netural,0.3479185998439789,Positive
1000,0.0,Neutral,0.0,Netural,0.2687090039253235,Netural
The greatest ever ❤️❤️,0.6369,Positive,1.0,Positive,0.9480198621749878,Positive
always,0.0,Neutral,0.0,Netural,0.6480700969696045,Positive
Actual all-time views of this video.. 15 billion,0.0,Neutral,0.0,Netural,-0.4753475785255432,Negative
The the last zombie dance was so iconic🔥🔥🔥,-0.7745,Negative,0.0,Netural,0.31004223227500916,Netural
that movie is rated r and rated NC -17,0.0,Neutral,0.0,Netural,-0.596994161605835,Negative
Theorie: she's actually diavolo going through infinity death loop,-0.5994,Negative,0.0,Netural,-0.3549407720565796,Negative
Anyone in 2022?,0.0,Neutral,0.0,Netural,-0.5751007199287415,Negative
2022,0.0,Neutral,0.0,Netural,0.2900533974170685,Netural
"Recuerdo que de niño me daba miedo la escena dónde MJ se convertía en lobo, pero después de su muerte lo supere, la única música que solo escuchaba antes de que muriera fue Remenber of time",-0.9052,Negative,-0.19999999999999998,Negative,0.4365804195404053,Positive
Mickey?,0.0,Neutral,0.0,Netural,-0.31213057041168213,Negative
русские?,0.0,Neutral,0.0,Netural,-0.3123459815979004,Negative
The hype that preceded the video was insane. Everyone wanted to it after that. Michael didn't disappoint. RIP,-0.1134,Negative,-1.0,Negative,-0.5433236956596375,Negative
I remember when it’s first premiered they stopped everything with a. Breaking news bulletin video was long as hell on jukebox .lol dam I’m old But this was the hardest video ever,-0.3291,Negative,0.10000000000000002,Netural,-0.5360071063041687,Negative
Sad I think of Revenge of Nerds when I hear this,-0.7579,Negative,-0.5,Negative,-0.5707800984382629,Negative
best Michael Jackson song ever,0.6369,Positive,1.0,Positive,0.8953233957290649,Positive
Remember when MTV was good?,0.4404,Positive,0.7,Positive,-0.2892213463783264,Negative
"Admit it, as a child, this gave you nightmares for YEARS!!",0.3365,Positive,0.0,Netural,0.650901198387146,Positive
I used to watch this when I went to college back in 2010 and now I have a job got married and even have 2 kids and this is my second time watching it,0.0,Neutral,0.08333333333333333,Netural,0.533119261264801,Positive
RIP MJ,0.0,Neutral,0.0,Netural,-0.506585955619812,Negative
Michael’s acting ability was underrated,0.3182,Positive,0.0,Netural,0.4930082857608795,Positive
"I saw this when I was 5 in 2009, and it was scary then, lol

Once the king, always the king 👑",-0.1027,Negative,0.15000000000000002,Netural,0.4660262167453766,Positive
I’m still scared of this every since he came out with this video when into a werewolf and zombie,-0.4404,Negative,0.0,Netural,0.46532684564590454,Positive
Hey there Wacco Jacco  R.I.P  Sirr Michael Jackson!,0.0,Neutral,0.0,Netural,0.4932946562767029,Positive
