Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"No copyright music
https://youtu.be/3fcwWy41wsQ",-0.296,Negative,0.0,Netural,-0.6026711463928223,Negative
Both of these ladies need to collab again and sing more Spanish they sound sooo good.,0.4404,Positive,0.4,Positive,0.39463505148887634,Positive
Cardi b best body,0.6369,Positive,1.0,Positive,0.8190270662307739,Positive
savage. https://youtu.be/WPdWvnAAurg,-0.4588,Negative,0.0,Netural,0.373176246881485,Positive
Te amé y te sigo amando cegm. Da igual cuando leas este comentario. 28.,0.8412,Positive,0.6,Positive,-0.5658309459686279,Negative
2:35 a Selena 😍😍😍,0.8402,Positive,0.0,Netural,0.24211832880973816,Netural
Selena beyby ayloviu,0.0,Neutral,0.0,Netural,0.25128108263015747,Netural
i only watch it for Selena's step 🥺🥺,0.0,Neutral,0.0,Netural,0.31832849979400635,Netural
Hat's off to this masterpiece and the legends,0.7073,Positive,0.0,Netural,0.7737574577331543,Positive
This song had me thinking I knew Latin😭😭,-0.7351,Negative,0.0,Netural,0.4260188341140747,Positive
May I have the permission to use this music for school purposes. Thank you💚,0.7717,Positive,0.0,Netural,0.2612539529800415,Netural
OK,0.296,Positive,0.5,Positive,0.49511444568634033,Positive
"everything has an end of it , yeh now this song is dead and this makes me emotional.",-0.5719,Negative,-0.1,Negative,0.6690903902053833,Positive
"And the biggest head of Media wrote TAKI TAKI ...Prophet Hanna's TAK IS GOOD TAK promoted better IS GOOD, MEDIA IMPACTS- RUMBA THE LAND OF GREEKS",0.918,Positive,0.6333333333333333,Positive,-0.2735716998577118,Negative
"*Did anyone just suddenly remember this song*
.
.
👇
*You’re amazing stay blessed, stay safe and have a amazing rest of your day*",0.9371,Positive,0.42500000000000004,Positive,0.8227500319480896,Positive
Selena 's o oo is so cool,0.4572,Positive,0.35,Positive,0.617365300655365,Positive
Müzik harika! uzun zamandır dinliyorum bağımlılık yaptı! Türkiye'den selamlar! 🇹🇷,0.8306,Positive,0.31666666666666665,Netural,0.6326053142547607,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.7419810891151428,Positive
I like your song,0.3612,Positive,0.0,Netural,0.483391672372818,Positive
I really like cardi B's Spanish (chef's kiss)🤌🤌,0.4201,Positive,0.1,Netural,0.4348534345626831,Positive
Nice voices,0.4215,Positive,0.6,Positive,0.4647879898548126,Positive
Selena stole all my attention ❤️❤️,0.0,Neutral,0.0,Netural,0.524638295173645,Positive
Idk cardi and Selena Spanish just hit different,-0.1027,Negative,0.0,Netural,-0.37444964051246643,Negative
Y como olvidar esta joya de música...,0.2441,Positive,0.0,Netural,0.7328420281410217,Positive
very niiice ! 😻,0.5508,Positive,0.25,Netural,0.3441006541252136,Positive
why does Selena Gomez slightly look like Zendaya?,0.3008,Positive,-0.16666666666666666,Negative,0.28595638275146484,Netural
Wujwwjwjkw,0.0,Neutral,0.0,Netural,0.34317314624786377,Positive
Do you espeak espanish?,0.0,Neutral,0.0,Netural,-0.35282957553863525,Negative
♡,0.0,Neutral,0.0,Netural,0.5759676098823547,Positive
Selena Gómez se parece a selena Quintanilla,0.3612,Positive,0.0,Netural,0.420974463224411,Positive
"Takis,takis 
Takis,takis rumba",0.0,Neutral,0.0,Netural,0.3053268790245056,Netural
love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
"who""s here in 2022",0.0,Neutral,0.0,Netural,0.34350132942199707,Positive
PEACE AND LOVE FOR EVERBODY WHO IS READING THIS ❤ stay save and have a nice day.,0.9655,Positive,0.55,Positive,0.7589603662490845,Positive
Wooooooo!  This will forever hit!,0.0,Neutral,0.0,Netural,0.8604968786239624,Positive
Cardi B's voice sounds like spicy takis👀,0.3612,Positive,0.0,Netural,0.28863656520843506,Netural
"the way they mixed Selena's laugh into the instrumentals right after she said ""Dj Snake"" before her part. I can't get enough, still.",0.5574,Positive,0.1464285714285714,Netural,0.3790768086910248,Positive
–DJ Snake Taki Taki–,0.0,Neutral,0.0,Netural,0.38100823760032654,Positive
Who's here in April,0.0,Neutral,0.0,Netural,0.4372655749320984,Positive
I love this song so much ❤️❤️❤️❤️,0.6369,Positive,0.35,Positive,0.8893097639083862,Positive
Saki saki was invented after this,0.0,Neutral,0.0,Netural,0.3346042037010193,Positive
😊😊😊,0.9517,Positive,0.0,Netural,0.30857792496681213,Netural
😊😊,0.9001,Positive,0.0,Netural,0.30857792496681213,Netural
😃😁😏😎,0.8176,Positive,0.0,Netural,0.30857792496681213,Netural
Cardi B is so freaking hot my Android is about to Burst in flames,-0.5598,Negative,0.25,Netural,-0.48392054438591003,Negative
Rumbling rumbling,0.0,Neutral,0.0,Netural,-0.33605673909187317,Negative
I live for cardi b here,0.0,Neutral,0.13636363636363635,Netural,0.4663236141204834,Positive
"Wait, I’m confused it sounded like Selena but Cardi B was still singing",0.0258,Neutral,-0.4,Negative,-0.33091050386428833,Negative
In India Let's Enjoy Spanish 🤞🥵,0.4939,Positive,0.2,Netural,0.340364933013916,Positive
Hottlenaa,0.0,Neutral,0.0,Netural,-0.32595446705818176,Negative
2022 amigos?,0.4767,Positive,0.0,Netural,-0.3462578058242798,Negative
"This is masterpiece man
Beats are just oppp",0.6249,Positive,0.0,Netural,0.83567214012146,Positive
Holanda es una manera más qe feliz año nuevo para ustedes,0.6077,Positive,0.4787878787878788,Positive,0.5741130709648132,Positive
Shankar,0.0,Neutral,0.0,Netural,0.2650628983974457,Netural
Nice video,0.4215,Positive,0.6,Positive,0.4692580997943878,Positive
El flow de cardi B,0.0,Neutral,0.0,Netural,0.26709720492362976,Netural
"Recuerda realizar comentarios respetuosos seguir
nuestros lineamientos de comunidad",0.4588,Positive,0.5,Positive,0.5960364937782288,Positive
hdhqhhshhs      jqjisbdisj❤️❤️❤️❤️❤️❤️jejdjdududushhhshwhwyyywuywywyywwywywy@❤️❤️❤️❤️❤️❤️🔥🔥❤️❤️,-0.5859,Negative,0.0,Netural,0.28349053859710693,Netural
Selena 🥰❤️,0.8074,Positive,0.0,Netural,0.4026755392551422,Positive
Taki means mop in urdu,0.0,Neutral,0.0,Netural,0.2735171914100647,Netural
https://youtu.be/mAq-n2EjzKM.,0.0,Neutral,0.0,Netural,-0.2772085666656494,Negative
https://youtu.be/SRt0KAMCI4Q,0.0,Neutral,0.0,Netural,0.23397596180438995,Netural
2:36,0.0,Neutral,0.0,Netural,0.23928001523017883,Netural
जो जो भाई  बहन अपने माता पिता को प्यार करते है वह ईस कमेंट को लाईक करे   plz,0.7906,Positive,0.5,Positive,0.4025275707244873,Positive
Legends are listening in 2022,0.0,Neutral,0.0,Netural,0.5511634945869446,Positive
Watched this in at least the year 2020,0.0,Neutral,-0.3,Negative,0.3547765612602234,Positive
Puros gringos,0.0,Neutral,0.21428571428571427,Netural,0.5034108757972717,Positive
Just here for selena gomez 🔥❤️,-0.34,Negative,0.0,Netural,0.5357630252838135,Positive
Ich liebe den song,0.6369,Positive,0.5,Positive,0.6978253126144409,Positive
Fan,0.3182,Positive,0.0,Netural,0.2920130789279938,Netural
ΔΠΨΩΠΣ HΣRΣ IΠ ΔPRIL 2022💞,0.6486,Positive,0.0,Netural,-0.2757987380027771,Negative
Am honestly here for Selina and Cardi B,0.4588,Positive,0.6,Positive,0.39654844999313354,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037035,Netural,0.7419810891151428,Positive
Also in India famous rupa 😂😂😂😂,0.891,Positive,0.5,Positive,0.5449644923210144,Positive
Ρηζξ,0.0,Neutral,0.0,Netural,-0.3280932903289795,Negative
0:16,0.0,Neutral,0.0,Netural,-0.43922579288482666,Negative
0:15,0.0,Neutral,0.0,Netural,-0.4695160686969757,Negative
Every person has their own lyrics for this song 🙂,0.4033,Positive,0.6,Positive,0.6115086078643799,Positive
Wow💋💋,0.8555,Positive,0.0,Netural,0.30857792496681213,Netural
"Hello, dear friends! They are very good, kind, smart and beautiful people! I wish you and your family happiness, health and all the best!💖💐☕🍰🍓🍍🪅😊🎉",0.9927,Positive,0.6848571428571428,Positive,0.8851403594017029,Positive
Au 1% des personnes française regardant ce commentaire je dit juste BRAVO !!!!!!🎊,0.0,Neutral,0.0,Netural,-0.5102170705795288,Negative
Came for cardi b🔥🔥,-0.5859,Negative,0.0,Netural,0.31460997462272644,Netural
Yy,0.0,Neutral,0.0,Netural,0.2968423366546631,Netural
"This song never gonna turns old ... In this song there are four main legends and the saying goes "" legends never die "" people will remember them and damn this song would never gonna be old .... So happy that Selena Gomez was so clam and so confident and same those to Cardi B and Ozuna... The head offs goes to the most important person our best lyrics king 👑 DJ SNAKE...",0.9485,Positive,0.3962962962962963,Positive,0.5654587149620056,Positive
Big fan,0.3182,Positive,0.0,Netural,0.6138754487037659,Positive
"Sñ,ññdl,zpzñe🥳😁🤩😍😚😁",0.936,Positive,0.0,Netural,0.25244492292404175,Netural
dj snake 🐍 🙏for Indian music to next lvl,0.0,Neutral,0.0,Netural,0.6104005575180054,Positive
Cardi 💕😍,0.8074,Positive,0.0,Netural,0.3158017694950104,Netural
Para mi bad bunny y ozuna empatan,-0.5423,Negative,-0.6999999999999998,Negative,0.3816549479961395,Positive
🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
DJ snake🇩🇿🔥,-0.34,Negative,0.0,Netural,0.32973697781562805,Netural
TikTok hit song .....very haunting music  ....rumba,-0.3384,Negative,0.0,Netural,-0.355905681848526,Negative
Niceee🧐🍷🤙🏼🤙🏼,0.7506,Positive,0.0,Netural,0.30857792496681213,Netural
"Can you speak a foreign language? 
Me:",0.0,Neutral,-0.125,Negative,-0.39510825276374817,Negative
Fun fact : its made from DJ KSHMRS SAMPLE,0.5106,Positive,0.3,Netural,0.5608378648757935,Positive
La vida verdadera esta en cristo Jesús solamente. Bendiciones para la Gloria de Dios.,0.872,Positive,0.35,Positive,0.6773838400840759,Positive
like,0.3612,Positive,0.0,Netural,0.3933764100074768,Positive
Nice song 🤘🤘🤯🤯🤯😬😬😬,-0.5267,Negative,0.6,Positive,0.4506402909755707,Positive
This my favorite,0.4588,Positive,0.5,Positive,0.8838628530502319,Positive
😎😎😍,0.8402,Positive,0.0,Netural,0.30857792496681213,Netural
💙💙❤,0.9274,Positive,0.0,Netural,0.30857792496681213,Netural
I like this song,0.3612,Positive,0.0,Netural,0.5468980669975281,Positive
"Selena Gomez singing in Spanish 💞
So beautiful💙
If your still listening to this music till now your a legend🤍
Love this song❤",0.9754,Positive,0.25,Netural,0.6693428158760071,Positive
Nici,0.0,Neutral,0.0,Netural,-0.5182698369026184,Negative
Selena Gomez murdered 🔥🔥🔥,-0.891,Negative,0.0,Netural,-0.5095314979553223,Negative
"Most of the people don't know meaning but still feel good when listen it
Selena gomez, Dj snake and other artist make this song more beautiful ❤️😍💖",0.9757,Positive,0.485,Positive,0.4893478453159332,Positive
How many legands are listening this masterpiece in 2022❤️🤗🤗,0.8879,Positive,0.5,Positive,0.7593870162963867,Positive
"A message to the future generations: ""DON'T LET THIS SONG DIE""",-0.6841,Negative,0.0,Netural,-0.4217965602874756,Negative
"if you did these three things:
  1-listen to this song
  2-like this comment
  3-subscribe to my channel
  you are a legend.🔥🔥🔥",-0.7351,Negative,0.0,Netural,0.4738548994064331,Positive
Selena queda demás 🙄,0.0,Neutral,0.0,Netural,0.38086268305778503,Positive
