Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
firee,0.0,Neutral,0.0,Netural,0.22455428540706635,Netural
BTS are the best!!,0.6988,Positive,1.0,Positive,0.8964865207672119,Positive
Parecen de plástico,0.3612,Positive,0.0,Netural,-0.32249370217323303,Negative
Toooooooooooo maaaaaaaaa@aaaach,0.0,Neutral,0.0,Netural,-0.3698257803916931,Negative
I like BTS,0.3612,Positive,0.0,Netural,0.4648664891719818,Positive
1462M up up,0.0,Neutral,0.0,Netural,0.25390440225601196,Netural
2:34,0.0,Neutral,0.0,Netural,0.2389409840106964,Netural
👎,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
SUGA,0.0,Neutral,0.0,Netural,0.27331778407096863,Netural
ههه,0.5574,Positive,0.2,Netural,-0.24262811243534088,Negative
كل عام ونتم بخير يا ارمي😊😊😊😊😊😊😊,0.9921,Positive,0.4681818181818182,Positive,0.6909747123718262,Positive
It makes me happy and a relief from my pains....... LOVED IT ❤️,0.8636,Positive,0.75,Positive,0.6683471202850342,Positive
♡,0.0,Neutral,0.0,Netural,0.5759676098823547,Positive
what does bts mean??,0.0,Neutral,-0.3125,Negative,-0.289949893951416,Negative
BTS ALBUM COMEBACK ON JUNE 10,0.0,Neutral,0.0,Netural,0.24945390224456787,Netural
Let's continue to reproduce this gem. LET'S GET 2 BILLION!!,0.0,Neutral,0.0,Netural,0.6413512825965881,Positive
مش مظبوتين,0.0,Neutral,0.0,Netural,0.23425772786140442,Netural
am back to my job...time to increase the numbers,0.3182,Positive,0.0,Netural,0.2749215364456177,Netural
Finally😊,0.7184,Positive,0.0,Netural,0.30857792496681213,Netural
bts outsold everyone,0.0,Neutral,0.0,Netural,0.42714619636535645,Positive
show us who is king,0.0,Neutral,0.0,Netural,0.5765048265457153,Positive
I love you bts,0.6369,Positive,0.5,Positive,0.8235766291618347,Positive
Love myself 5494,0.6369,Positive,0.5,Positive,0.7371355295181274,Positive
Bad bad bad . I hate BTS. BTS is a maid. Hahaha.exo is best.i love.,-0.875,Negative,-0.47999999999999987,Negative,-0.7801854014396667,Negative
Light it up Dynamitee,0.1779,Positive,0.4,Positive,-0.30335545539855957,Negative
c mamut,0.0,Neutral,0.0,Netural,0.27595359086990356,Netural
내가 한국인 이라는게 자랑스럽다,0.4767,Positive,0.8,Positive,0.5864011645317078,Positive
BTS COMEBACK IN JUNE 10!,0.0,Neutral,0.0,Netural,0.31371548771858215,Netural
"We are doing great but it's not enough, st4eam more <3",0.7808,Positive,0.575,Positive,0.6723616719245911,Positive
I never get tired of Dynamite,0.4777,Positive,-0.4,Negative,0.49025028944015503,Positive
BOOOOOOOOOOOOOOOOOOOOOOO BTSBGRHO,0.0,Neutral,0.0,Netural,-0.2507741153240204,Negative
"1,461,689,587 v13ws (06: 52PM VIETNAM) May 1st, 2022.

BTS WILL COMEBACK IN JUNE 10, 2022",0.0,Neutral,0.0,Netural,-0.7193341851234436,Negative
All them are amazing I like BTS and blackpink too they're my favorites too In spy ninjas all my favorites are the songs not the videos I'm 15,0.8979,Positive,0.6000000000000001,Positive,0.8350772857666016,Positive
It is so amazing,0.7065,Positive,0.6000000000000001,Positive,0.8558654189109802,Positive
I love this song it's amazing I love it so much        so so so so muchhh,0.9217,Positive,0.45,Positive,0.9050952196121216,Positive
NANANANANAN HHAAHAHHAHAAHAHAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHAAAAAAAAAAAHHHHHHHHHHHHHHHHAAAAAAAAAAAAA,0.0,Neutral,0.0,Netural,-0.3461020886898041,Negative
The 1st 1 of this movie is wow 😘😍😗❤💋,0.9652,Positive,0.1,Netural,0.5864319205284119,Positive
Диномайк?,0.0,Neutral,0.0,Netural,-0.2956325113773346,Negative
Dynamite 🧨~,0.1779,Positive,0.0,Netural,-0.3664236068725586,Negative
I still watch again,0.0,Neutral,0.0,Netural,0.46713945269584656,Positive
😂😂😂😂솔직히 노래가 좋지 않거나 인사가 좋지 않습니다. 🤣🤣,0.9589,Positive,-0.033333333333333326,Negative,0.3510175049304962,Positive
Lovely,0.5859,Positive,0.5,Positive,0.5615791082382202,Positive
This is interesting 😒😒,0.4019,Positive,0.5,Positive,0.43978145718574524,Positive
+4,0.0,Neutral,0.0,Netural,0.3801146447658539,Positive
Shining through the city with a little funk and soul..!~,0.0,Neutral,-0.234375,Negative,0.5414615273475647,Positive
💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜,1.0,Positive,0.0,Netural,0.30857792496681213,Netural
I like this,0.3612,Positive,0.0,Netural,0.5622120499610901,Positive
Cull👍👍🏻,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"Am I the only one who listen to this masterpiece in May 2022 
Army forever💜💜",0.9357,Positive,0.0,Netural,0.39124053716659546,Positive
"Az önce dilime dolanmıştı şimdide geldim , burdayım , dinliyorum.",-0.25,Negative,0.0,Netural,0.5135053992271423,Positive
2022 년에 누가 이 노래를 듣고 있습니까?💖😭,0.5106,Positive,0.0,Netural,-0.3802776634693146,Negative
.,0.0,Neutral,0.0,Netural,0.2539338767528534,Netural
Find DISCO,0.0,Neutral,0.0,Netural,0.2503196895122528,Netural
~Light it up like dynamite ~,0.4939,Positive,0.4,Positive,0.33444473147392273,Positive
BTS,0.0,Neutral,0.0,Netural,0.36291640996932983,Positive
Let's make Dynamite 1.5B,0.1779,Positive,0.0,Netural,0.32615113258361816,Netural
গুখা,0.0,Neutral,0.0,Netural,0.2654173970222473,Netural
Herkese iyi bayramlar,0.743,Positive,0.8,Positive,0.3212800621986389,Netural
1.5B army let's go,0.0,Neutral,0.0,Netural,0.35258516669273376,Positive
Pure khusrai,0.0,Neutral,0.21428571428571427,Netural,0.4949388802051544,Positive
that that,0.0,Neutral,0.0,Netural,-0.30850374698638916,Negative
Life is still dynamite ♡︎,0.1779,Positive,0.0,Netural,0.6882978677749634,Positive
다이너마이트가 유명하단건 알고 있었는데 조회수 보고 정말 깜짝 놀랐어요...ㅋㅋ 방탄소년단이 유명해지면서 우리 대한민국도 더 유명해지는 거 같아서 기분이 좋아요 히히,0.8332,Positive,0.4666666666666666,Positive,0.29424524307250977,Netural
1.5b is coming👑,0.0,Neutral,0.0,Netural,0.26222947239875793,Netural
تجوج بشي وحد منكم قولو اخوتتي,0.0,Neutral,0.0,Netural,0.3643624484539032,Positive
Jos vaiya,0.0,Neutral,0.0,Netural,0.2608215808868408,Netural
Wow,0.5859,Positive,0.1,Netural,0.6995608806610107,Positive
Me,0.0,Neutral,0.0,Netural,0.2765241265296936,Netural
May 2022 viewers 😅😅,0.6124,Positive,0.0,Netural,-0.4197516441345215,Negative
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
♡,0.0,Neutral,0.0,Netural,0.5759676098823547,Positive
",😇😇😇👍👍👍👍👍👍👍👍👍👍👍👍👍👍👏👏👏👏👏🤘🤘👏👏👏👏👏👏🤘🤘",0.8402,Positive,0.0,Netural,0.3325739800930023,Positive
"Don't worry, you're not the only person listening to the best song ever made in May 2022 💜💜",0.9433,Positive,0.5,Positive,0.3116544485092163,Netural
"Don't worry.You're not the only one who still listening to this masterpiece in 2022.
I'm still watching this and I'm always be",0.7073,Positive,0.0,Netural,0.7218417525291443,Positive
Hi ARMYs ❤️☺️,0.0,Neutral,0.0,Netural,0.36149561405181885,Positive
Their fanbase(army)is huge!!I am not an army but every minute someone is here to hear this masterpiece.,0.8554,Positive,0.0,Netural,0.7852303385734558,Positive
I like RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM RM most,0.3612,Positive,0.5,Positive,-0.3594875931739807,Negative
Never get old 💜💜💜💜💜,0.9719,Positive,0.1,Netural,0.36660775542259216,Positive
dynamite queen forever,0.1779,Positive,0.0,Netural,0.7437339425086975,Positive
BTS I LOVE YOU,0.6369,Positive,0.5,Positive,0.7844750285148621,Positive
I am a BTS army,0.0,Neutral,0.0,Netural,0.3580186367034912,Positive
Today is 2022.05.02 and I still watching it,0.0,Neutral,0.0,Netural,0.5456944704055786,Positive
Jung Hoseok,0.0,Neutral,0.0,Netural,0.27095508575439453,Netural
Please army sports le sseraflm 😭🔥,-0.4939,Negative,0.0,Netural,0.34927019476890564,Positive
life is sweet as honey,0.4588,Positive,0.35,Positive,0.5267500281333923,Positive
I LIKE YOU BTS,0.3612,Positive,0.0,Netural,0.5806566476821899,Positive
33M like wow,0.743,Positive,0.1,Netural,0.5438312292098999,Positive
"They are just such an inspiration for this world 🌎❤😍💙 . There is no one in thos world who can make me more happier than BTS!!!💜💜💜  , I love them soooooooo much  💘 when ever I'm sad there voices always are me happy 😊 . I will always be an supportive army 💜 nad I'm sure all the beautiful eyes reading this comment will have a nice day 💜💜💜💜 I love you 💖 BTSSSSSSS",0.9982,Positive,0.40454545454545454,Positive,0.9179549217224121,Positive
احلى شي جيمن,0.6369,Positive,1.0,Positive,0.2733807861804962,Netural
"BTS is not just an idol. They're a boys dreams, dedication, intelligent, so much passion. They inspire many.💜✨",0.9594,Positive,0.5,Positive,0.8898704051971436,Positive
"Dynamite is the most viewed kpop music video each month with over 28 million monthly views after being 20 months old 
Come on we need 1.5 billion",0.1779,Positive,0.3,Netural,-0.5288068056106567,Negative
1.5B coming soon..💜️;-),0.0,Neutral,0.25,Netural,0.5588803887367249,Positive
I'm so pretty 😎🖕,0.7764,Positive,0.25,Netural,0.5341722369194031,Positive
But I know she lied 😌,0.0,Neutral,0.0,Netural,0.3277721405029297,Netural
"My lil sister called me ug|y 😭
After I forced her to tell me the truth about my look 🙄",-0.5859,Negative,-0.30000000000000004,Negative,0.24308250844478607,Netural
2:31 😇,0.4588,Positive,0.0,Netural,-0.2582050859928131,Negative
Me,0.0,Neutral,0.0,Netural,0.2765241265296936,Netural
I love you jimin,0.6369,Positive,0.5,Positive,0.8152832388877869,Positive
Let's make Dynamite 1.5B,0.1779,Positive,0.0,Netural,0.32615113258361816,Netural
I love this song so much 💜,0.8646,Positive,0.35,Positive,0.8893097639083862,Positive
I love this song 😘😘❤️,0.8689,Positive,0.5,Positive,0.8624796271324158,Positive
Let's go   ♡,0.0,Neutral,0.0,Netural,0.5129231214523315,Positive
St4eam more :),0.5095,Positive,0.5,Positive,0.38698843121528625,Positive
Cause I'm in the stars tonight!,0.0,Neutral,0.0,Netural,0.2800896465778351,Netural
💙💙💙💙💙,0.9719,Positive,0.0,Netural,0.30857792496681213,Netural
♡♡♡,0.0,Neutral,0.0,Netural,0.6550375819206238,Positive
It's amazing and I love bts Sarang BTS,0.8402,Positive,0.55,Positive,0.8204972743988037,Positive
💗💗💗💗💗💗💗💗💗💗😚😚😚😚😚😚😚😚😚😚🥰🥰🥰🥰🥰,0.9991,Positive,0.0,Netural,0.30857792496681213,Netural
I love u,0.6369,Positive,0.5,Positive,0.7627245187759399,Positive
No you're not alone who is listening this song i'm also listening😌,0.2824,Positive,0.0,Netural,-0.44868263602256775,Negative
how,0.0,Neutral,0.0,Netural,0.42232441902160645,Positive
I love you Jimin and Army❤💚💜💙💛,0.9803,Positive,0.5,Positive,0.8494759202003479,Positive
Love you Bangtan💜💜💜,0.9571,Positive,0.5,Positive,0.856530487537384,Positive
BTS,0.0,Neutral,0.0,Netural,0.36291640996932983,Positive
Bu MV yi ve boy with luv MV sini bir an önce 2 milyar yapmalıyız Army,0.0,Neutral,0.0,Netural,-0.3257494866847992,Negative
"*BTS ARMY,2b we go!!*",0.0,Neutral,0.0,Netural,0.24882197380065918,Netural
"Stre4m ""that that"" MV Army",0.0,Neutral,0.0,Netural,0.23515702784061432,Netural
"I know this song’s so glammmmm💜

Armies, continue the lyrics - 
*cuz I I I’m in the stars Tonight so…*

Also u need to *continue* them like once someone continues my lyrics the next person will continue that person’s lyrics. Hope u understand! 😅",0.9128,Positive,0.0,Netural,0.2836078107357025,Netural
Türk Army var mı,0.0,Neutral,0.0,Netural,0.297153502702713,Netural
한국인을찾아라,0.0,Neutral,0.0,Netural,0.45527398586273193,Positive
"1,461",0.0,Neutral,0.0,Netural,0.2560768723487854,Netural
Jhaadu kidhar se aaya tu,0.0,Neutral,0.0,Netural,-0.341936856508255,Negative
Only one mc,0.0,Neutral,0.0,Netural,-0.5203829407691956,Negative
👯💃💃 happy happy,0.8126,Positive,0.8,Positive,0.6331663131713867,Positive
DYNAMITE....the next BTS MV to reach 1.5B vi3ws,0.0258,Neutral,0.0,Netural,-0.42416441440582275,Negative
